Timestamp,Gender,Age,Education,Occupation,How long do you use the mobile phone in your daily life?,How long do you use the laptop/desktop in your daily life?,What do you primarily use your devices for?,How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,"What is your reactions when you detect the following dark pattern design? 
(Nagging: imagine when you are using Instagram, it keeps nagging you to turn on notifications, repeating this regularly over a period of time...)",Can you describe your reactions more in detail regarding the previous example? ,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Nagging) of dark pattern? ,Which application(s) do you face with (Nagging) dark pattern designs the most?,How confident are you in your ability to detect the (Nagging) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Nagging) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Obstruction: imagine you sign up and subscribe to a service very easily, however, you find out it's extremely hard to cancel as you are required to call customer service to cancel or more effort is needed...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Obstruction) of dark pattern? ,Which application(s) do you face with (Obstruction) dark pattern designs the most?,How confident are you in your ability to detect the (Obstruction) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Obstruction) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Sneaking: Imagine you intend to buy a product online for its lower price compared to other sellers, you're drawing to go through a lengthy series of steps, and then at the end immediately before payment, reveal a final higher price...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Sneaking) of dark pattern? ,Which application(s) do you face with (Sneaking) dark pattern designs the most?,How confident are you in your ability to detect the (Sneaking) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Sneaking) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Interface Interferences: Imagine you want to unsubscribe email notification from Amazon, but you spend an amount of time to locate the ""unsubscribe here"" button because it grayed out in front of a gray background, making it harder to see...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Interface Interferences) of dark pattern? ,Which application(s) do you face with (Interface Interferences) dark pattern designs the most?,How confident are you in your ability to detect the (Interface Interferences) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Interface Interferences) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Forced Action: Imagine you have to accept the newsletter subscription to continue signing up for an account for a product...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Forced Action) of dark pattern? ,Which application(s) do you face with (Forced Action) dark pattern designs the most?,How confident are you in your ability to detect the (Forced Action) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Forced Action) dark pattern example?,What are your reactions toward applications when encountering dark patterns?,Can you think of other example(s) you have experienced of dark pattern designs?,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final
6/10/2024 14:42:52,Female,25 - 34,Master's degree,PhD student,2 to 4 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",1,Annoyance,It's annoying to get interrupted by such notifications,negative,negative,negative,"annoying, interruption","annoying, interrupted, notifications","annoying, interruption",Occasionally,"Google, LinkedIn",3,3,"Mile concern, Distrust, Disappointment","The cleverness evident in the design of a few applications is disconcerting, fostering distrust as it suggests that such corporations prioritize profit over service. Consequently, it's quite disappointing.",negative,negative,negative,"distrust, disconcerted, profit over service, disappointed","design, fostering distrust, profit over service, disappointing","distrust, disconcerted, profit over service, disappointed",Occasionally,Magazine subscriptions (Wired),4,4,"Frustration, Anger, Distrust, Disappointment, Annoyance","The large number of applications that are designed this way is troubling, leading to a lack of trust as it implies that these corporations prioritize making money over providing genuine service, which is disappointing.",negative,negative,negative,"troubling, profit over service, distrust, disppointed","applications, design, troubling, lack of trust, prioritize, make money, service, disappointing","troubling, profit over service, distrust, disppointed, distrust",Occasionally,Flight tickets,4,3,"Mile concern, Frustration, Distrust, Disappointment, Annoyance","The large number of applications that are designed this way is troubling, leading to a lack of trust as it implies that these corporations prioritize making money over providing genuine service, which is disappointing.",negative,negative,negative,"troubling, profit over service, distrust, disppointed","applications, design, troubling, lack of trust, prioritize money over service, disappointing","troubling, distrust, profit over service, disppointed",Rarely,"Amazon, Instagram, LinkedIn",4,5,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance","The large number of applications that are designed this way is troubling, leading to a lack of trust as it implies that these corporations prioritize making money over providing genuine service, which is disappointing.",negative,negative,negative,"troubling, profit over service, distrust, disappointed","applications, design, troubling, lack of trust, prioritize money over service, disappointing","troubling, profit over service, distrust, disappointed",Rarely,"Facebook, Google, Microsoft, Instagram, YouTube, ",5,3,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",hotstar,hotstar,,hotstar
6/10/2024 14:51:26,Female,Over 55,Doctoral degree,student,2 to 4 hours,2 to 4 hours,"Education, Work or Professional Tasks, Social Media",1,"Anger, Distrust",,,,,,,,Occasionally,"Google, Instagram",1,1,"Anger, Distrust, Disappointment",,,,,,,,Occasionally,Google,1,1,"Understanding, Anger, Distrust",,,,,,,,Rarely,"Instagram, Expedia",1,1,"Understanding, Frustration, Distrust",,,,,,,,Occasionally,"Google, Instagram, YouTube",1,1,"Anger, Annoyance",,,,,,,,Rarely,Instagram,1,1,"Ignore the Dark Pattern, Immediately Stop Using the Application",,,,
6/10/2024 14:52:57,Male,25 - 34,Master's degree,Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",1,"Frustration, Annoyance",Annoying if it pops up again many times,negative,negative,negative,"annoying, frequent popup","annoying, many time pop-up, nagging","annoying, frequent pop-ups, nagging",Occasionally,"Facebook, Instagram, LinkedIn, YouTube, delivery app like doordash",3,4,"Mile concern, Distrust, Disappointment",Should have optioin to cancel directly ,netural,negative,neutral,simple operation,option to cancel directly,simple operation,Rarely,"YouTube, delivery app like doordash",3,4,"Distrust, Disappointment, Annoyance",Food delivery apps with tons of charges applied,netural,negative,negative,"food delivery app, intensive charges applied","food delivery apps, charges applied","food delivery app, intensive charges applied",Frequently,"apps like doordash, instacart",4,4,"Neutral, Mile concern",mostly visible directly,netural,positive?,positive,"same location, directly visible",directly visible,"same location, directly visible",Rarely,"Facebook, LinkedIn",3,4,"Trust, Mild concern",Does not matter much,neutral,neutral,neutral,not matter,doesn't matter a lot,not matter,Occasionally,"Google, Microsoft",3,4,"Ignore the Dark Pattern, Continue Using with Caution, Adjust Privacy and Notification Settings",phone software updates reminders,"phone, update nudges",phone software updates reminders,"phone software, update nudges"
6/10/2024 14:56:49,Female,25 - 34,Master's degree,Masters in Computer Science,2 to 4 hours,1 to 2 hours,"Education, Work or Professional Tasks, Communication/Networking, Social Media, Online Shopping, Entertainment",4,"Understanding, Annoyance","I consider it well when I need to turn on the notification like if someone needs to call me over insta then I keep my notifiations on, but when im not in need and then it keeps on popping up then I feel annoyed otw if it comes in controlled manner then I dont feel distress",netural,negative,neutral,depends on situations ,"annoyed, controlling, pop-ups, notifications","annoying, depends on situations",Occasionally,Instagram,3,3,"Annoyance, ",I feel very annoyed by this cos its a very tedious job ,negative,negative,negative,"annoying, tedious work","annoyed, tedious","annoying, tedious work",Rarely,N/A,3,3,Frustration,Sometimes it is a very long form to fill and i get really frustated ,negative,negative,negative,"time consuming form, frustrated","long form to fill, frustrated","time consuming, form, frustrated",Frequently,"Shein, Other shopping site",3,3,Frustration,I feel.very annoyed ,negative,negative,negative,annoying,annoyed,annoying,Occasionally,"Amazon, Facebook, Microsoft",3,3,Distrust,I have never encountered this,neutral,positive,positive,no experience,never came across it,no experience,Never encountered,N/A,1,1,"Continue Using with Caution, Look for Alternatives, Share Feedback on App Store/Review Platform",Not sure if I can identify it ,N/A,no,no
6/10/2024 15:52:50,Male,25 - 34,Master's degree,Graduate student,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Browsing the Internet, Social Media, Entertainment",1,Neutral,I think I’d prefer if I’m allowed to watch the contents I want without the disturbance,netural,,neutral,avoid disturbance,,avoid disturbance,Occasionally,"Amazon, LinkedIn, YouTube",3,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",I’m always very upset and disappointed especially when my details are flying around their app,negative,negative,negative,"upset, disappointed, ","upset, disappointed, details, privacy issue","upset, disappointed, privacy issue",Rarely,A few dating apps ,5,1,"Disappointment, Annoyance",,,,,,,,Rarely,Expedia,4,2,"Frustration, Anger, Annoyance",,,,,,,,Occasionally,"Amazon, Facebook",5,4,"Frustration, Disappointment",,,,,,,,Occasionally,"Google, LinkedIn",5,2,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",Teasing users with premium services on a website,"premium services, tease users","websites, premium service","website, premium services"
6/10/2024 16:08:10,Male,35 - 44,Master's degree,Graduate student,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping",3,"Neutral, Frustration, Anger",,,,,,,,Occasionally,"Facebook, Google, Microsoft",3,3,"Neutral, Frustration",,,,,,,,Occasionally,"Facebook, Google, Microsoft",3,3,"Frustration, Anger",,,,,,,,Occasionally,"Google, Microsoft, Instagram",3,3,"Frustration, Anger",,,,,,,,Occasionally,"Google, Microsoft, Instagram, LinkedIn",3,3,"Frustration, Anger",,,,,,,,Occasionally,"Google, Microsoft, Instagram, LinkedIn",3,3,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe",,,,
6/10/2024 16:34:16,Female,25 - 34,Master's degree,Student,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",2,Anger,I want it to remember my selection and stop annoying me.,netural,negative,negative,stop annoying,"remember selection, stop annoying, nagging","stop annoying, nagging, remember selection",Occasionally,"Facebook, LinkedIn, Twitter, Expedia",2,4,"Anger, Distrust, Annoyance",I feel angry and I will call to cancel anyway.,negative,negative,negative,"angry, cancel anyway","angry, call to cancel, hard to cancel","angry, hard to cancel",Occasionally,"Facebook, TikTok",2,1,"Frustration, Anger, Annoyance",,,,,,,,Frequently,"Google, Instagram, Airbnb",2,4,Annoyance,I've gotten used to it actually ,neutral,neutral,neutral,used to it,used to it,used to it,Very frequently,"Instagram, LinkedIn, Twitter, YouTube, Expedia",3,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",I might just forgive to sign up.,neutral,neutral?,neutral,forgive to sign up,"forgive, sign up","forgive, sign up",Occasionally,Google,5,4,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application","Some UI design, especially on some online shopping websites. They will make ""Buy"" super big and seduce you to place the order and apply credit cards. ","e-commerce, shopping","UI design, shopping website, font size, credit card info","e-commerce, shopping, interface interference"
6/10/2024 17:16:06,Female,25 - 34,Doctoral degree,Phd student,1 to 2 hours,4 to 6 hours,"Education, Communication/Networking, Browsing the Internet, Entertainment",1,"Distrust, Annoyance",It is bothering me when i get these patterns.,negative,negative,negative,bothering,"bothersome, patterns, nagging","bothersome, nagging",Occasionally,"Amazon, Google",1,1,"Trust, Neutral",I can sat I trust this kind of patterns and does not bother me.,positive,positive,positive,trust,"trust, does not bother, patterns",trust,Occasionally,Google,1,1,"Frustration, Distrust",I pannic if i llI see something like this.,negative,negative,negative,panic,panic,panic,Never encountered,Google,2,2,"Trust, Neutral",I would trust it,positve,negative?,positive,trust,,trust,Occasionally,Amazon,3,3,"Frustration, Distrust",I do nkt trust it,negative,negative,negative,distrust,don;t trust,distrust,Rarely,Google,3,3,Ignore the Dark Pattern,Those were all I saw,None,no,no
6/10/2024 17:33:46,Male,25 - 34,Master's degree,PhD Student (CS/HCI),1 to 2 hours,More than 6 hours,"Work or Professional Tasks, Browsing the Internet, Entertainment",4,"Neutral, Annoyance","It depends on the frequency of the reminder. I really don't mind if it's less than once a week (say), but if it were once or more a day, I think I would be pretty annoyed (because obviously I don't want to turn on notifications if I keep saying no). Also: would prefer a ""do not ask me again"" option, as well.",netural,neutral,neutral,"depends on situations, frequency of notification","frequency of notifications, nagging, ""do not ask me again""","frequent notifications, nagging, depends on situations",Occasionally,Instagram,3,4,"Frustration, Anger, Distrust, Annoyance","This is the worst, and I cannot believe it's legal. ",negative,negative,negative,"horriable, illegal",hard to believe it's legal,illegal,Rarely,I've encountered through my parents' local news subscription. I've also had this happen when I wanted to cancel a recurring donation (has to go through phone or email...),4,2,"Frustration, Disappointment, Annoyance, Surprise",It's frustrating to have to readjust your expectations and decide all over again if the purchase is worth it.,negative,negative,negative,"frustrated, out of expectation, readjust expectation","frustrating, expectations, purchase worth it","frustrated, out of expectation, readjust expectation",Occasionally,"Amazon, GrubHub or takeout apps in general -- there's always a lot of fees!",4,2,"Understanding, Mile concern, Annoyance","It's annoying, but it also feels at least slightly understandable that they don't want to highlight the UNSUBSCRIBE button because they want the message to look a certain way, etc. Sometimes the Unsubscribe option is also nested under ""settings"", which is super annoying if you can't just click a link to be taken there...",negative,neutral?,negative,"annoying, understandable","understandable, hidden in settings, sneaking","annoying, understandable, sneaking",Frequently,I associate this w/ various promotional emails. ,4,3,"Distrust, Annoyance","This one is especially annoying if you, for example, fill out a quiz or something and then it makes you give your email to send you the results.",negative,negative,negative,"annoying, unwanted action, sign up required for results","annoyed, fill out quiz and then require email to send info","annoying, unwanted action, sign up required",Rarely,"I don't associate this w/ any common platform. Unless you count forcing me to log in to see publicly posted content, like Instagram or Twitter does (which is very annoying!) ",5,4,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe","Already mentioned but: 1) gating content based on being logged in; 2) making it difficult to find notification settings (i.e., multiple ""settings"" menu selections); 3) sometimes when websites ask you about cookies, I find myself just quickly choosing ""accept all"", even though I'd rather not -- I'm guessing the other options are slightly less prominent or something.","forced action, login required, notification settings, obstruction, cookie consent, ""accept all,"" interface interference","log in for content, forced action, difficult to find settings, notifications, accept all for cookie, UI design, deceptive design","forced action, login required, hard to locate, cookie consent, obstruction, deceptive design"
6/10/2024 18:02:17,Female,18 - 24,Master's degree,graduate student,2 to 4 hours,2 to 4 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",1,"Anger, Annoyance",I always click no because I hate notifications and I think they are trying to get me on the app more,negative,negative,negative,"notification off, maximize user engagement, addiction","hate notifications, trying to get them on the app, nagging","notification off, maximize user engagement, nagging",Frequently,Instagram,4,4,Anger,,,,,,,,Occasionally,Google,4,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",I would close the tab in anger,nagetive,negative,negative,"angry, stop using app","close tab, anger","angry, stop using app",Rarely,Amazon,2,2,Annoyance,im pretty used to this one so it slightly annoying but not a big deal,negative,neutral,neutral,"used to it, slight annoyance","annoyed, no big deal","used to it, minor annoying, ",Very frequently,Google,3,3,Annoyance,I know ill have to unsubscribe later which is annoying,negative,negative,negative,"annoying, unsubscribe in future","aware, annoyed","annoying, unsubscribe in future",Occasionally,online shopping,4,3,Opt-Out or Unsubscribe,"sometimes on websites the pop-up prompts you to ""accept cookies"" and makes the reject button more difficult to see/click","pop-ups, cookie consent, interface interference","pop-ups, cookies, reject button difficult to find, UI/UX design","pop-ups, cookie consent, hard to locate, interface interference"
6/10/2024 18:51:58,Male,25 - 34,Master's degree,Student,2 to 4 hours,2 to 4 hours,"Education, Work or Professional Tasks, Browsing the Internet, Online Shopping",1,"Mild concern, Frustration, Disappointment, Annoyance",,,,,,,,Frequently,"Facebook, Twitter",5,4,"Anger, Distrust",,,,,,,,Rarely,Some magazine,4,3,"Frustration, Anger, Disappointment",,,,,,,,Occasionally,Other online shopping,4,4,"Frustration, Distrust",,,,,,,,Frequently,"Amazon, Google, Instagram",4,4,Distrust,,,,,,,,Rarely,Some unfamiliar websites,4,5,"Ignore the Dark Pattern, Look for Alternatives, Immediately Stop Using the Application",,,,
6/10/2024 19:05:23,Female,18 - 24,Master's degree,Student/GTA,2 to 4 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",4,"Frustration, Anger",It is very annoying as it hampers the flow ,negative,negative,negative,"annoying, hamper","annoying, ruins flow","annoying, ruins flow",Occasionally,"Google, Slack, YouTube",4,3,"Anger, Distrust, Disappointment",It feels very reduntant and irritating,negative,negative,negative,"reduntant, irritated","reduntant, irritating","reduntant, irritated",Frequently,"Facebook, LinkedIn",4,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",It happens most of the times in flight bookings which eventually leads to waste of time,negative,negative,negative,"flight bookings, waste time","flight bookings, waste of time","flight bookings, waste of time",Occasionally,"Facebook, Google",4,3,Mile concern,Does not happen very often,netural,neutral,neutral,seldom happen,not often,not oftern,Occasionally,"Facebook, LinkedIn",3,3,"Frustration, Anger",It is rare,neutral,neutral,neutral,rare,rare,rare,Rarely,YouTube,3,3,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe",,,,
6/10/2024 19:09:23,Male,35 - 44,Master's degree,Ph.D Student,1 to 2 hours,4 to 6 hours,"Education, Work or Professional Tasks",1,Curiosity,,,,,,,,Occasionally,"Google, Microsoft",1,2,Neutral,I read it,netural,neutral?,neutral,read,,read,Frequently,"Google, Microsoft",2,2,Netural,,,,,,,,Frequently,"Google, Microsoft",1,1,"Anger, Distrust, Disappointment",Takes my time,netural,negative,negative,take time,time waste,waste of time,Occasionally,"Google, Microsoft",1,1,Neutral,Fear,negative,negative,negative,fear,fear,fear,Rarely,YouTube,1,1,"Ignore the Dark Pattern, Opt-Out or Unsubscribe",No,None,no,no
6/10/2024 19:32:11,Female,25 - 34,Master's degree,Psychologist,4 to 6 hours,2 to 4 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping",1,"Frustration, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Google, Instagram",3,3,"Anger, Distrust, Disappointment, Annoyance",,,,,,,,Occasionally,"Amazon, Google, Instagram",3,3,"Frustration, Anger, Distrust, Annoyance",,,,,,,,Rarely,"Amazon, Facebook, Google, Instagram",3,3,"Frustration, Anger, Disappointment, Annoyance",,,,,,,,Rarely,"Amazon, Facebook",3,3,"Neutral, Mild concern, Frustration",,,,,,,,Frequently,"Google, Microsoft",2,2,"Ignore the Dark Pattern, Continue Using with Caution",,,,
6/11/2024 3:16:41,Prefer not to say,18 - 24,Bachelor's degree,Housewife,More than 6 hours,Less than 1 hour,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping",1,"Understanding, Mild concern, Anger, Distrust, Disappointment",I have a bad feeling that it intends to abuse my information,negative,negative,negative,"bad, abuse information","abuse info, privacy issue","abuse information, privacy issue",Never encountered,"Facebook, Google, Instagram",2,1,"Mile concern, Frustration, Anger, Distrust, Disappointment",,,,,,,,Rarely,"Facebook, Google, Microsoft, Instagram, YouTube",1,1,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Rarely,"Google, Microsoft, Instagram, YouTube",1,1,"Mile concern, Frustration, Anger, Distrust, Disappointment",,,,,,,,Occasionally,"Google, Microsoft, LinkedIn, YouTube",1,1,"Mild concern, Frustration, Anger, Distrust, Disappointment",,,,,,,,Frequently,"Google, Instagram, YouTube",1,1,"Ignore the Dark Pattern, Continue Using with Caution",,,,
6/11/2024 4:03:02,Male,18 - 24,Bachelor's degree,Cyber Security Engineer ,1 to 2 hours,More than 6 hours,"Education, Work or Professional Tasks, Browsing the Internet",4,"Mild concern, Frustration, Distrust","I checked the trust, because it seems that this type of dark patterns limited to your access granting. As a person who has been active in the field of cyber security for a long time, I always look suspiciously at activities that have the color of phishing or etc, this biased approach is due to my position and knowledge, and for a normal person, there is definitely the possibility of being trapped due to  More simplistic. Since I am very interested in talking and discussing this, I think the perception of individuals from the software infrastructure and in particular the problem of access level of the application to the management of notification or etc. is effective in understanding this issue.",netural,neutral?,neutral,"limit access grant, skeptical, cyber security, trapped","access granting, phishing, biased approach, trapped, access level, management","limit access grant, phishing, cyber security trapped",Frequently,"Facebook, Google, Microsoft, Instagram",4,2,"Frustration, Anger, Distrust, Disappointment, Annoyance","After finding out of this fact, and of course finding myself in a state of deceit, I will find a sense of disappointment and distrust of similar cases and, of course, hate the relevant service ",negative,negative,negative,"deceived, disappointed, distrust, hatred","deceit, disappointment, distrust, relevant service","deceived, disappointed, distrust",Occasionally,"Facebook, Instagram, Twitter",3,1,"Frustration, Anger, Distrust, Disappointment, Annoyance, Feeling very, very disgusted with the respective program",This is very annoying considering the financial situation of my life because I spend a lot of time comparing the costs and in the end I realize that I was cheated.,negative,negative,negative,"annoying, financial problem, time consuming, cheated","annoyed, financial situation, somparing costs, cheated","annoying, time consuming, financial loss, cheated",Very frequently,Numerous sellers in our country ,1,1,Annoyance,"In my opinion, this is one of the clearest black patterns that a person can say with high confidence that this was done intentionally to prevent unsubscribing.  While some types of black patterns do not instill this level of confidence in correct recognition in the audience",neutral,negative,negative,"clearest dark pattern, intentional prevention","clear dp, intentional, prevent unsubscribe","intentional difficult, clear dark pattern",Frequently,TikTok,4,2,Annoyance,"For me, this case is just spam, which can be easily filtered by blocking the company's email",neutral,negative,neutral,"spam emails, filter, blocking","spam, block company email","spams, blocking email",Rarely,YouTube,4,2,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, It is deeply dependent on how much I feel I need that application ","In my opinion, with this general and generalized expression, there are also some unexpressed types of black patterns, for example, guiding the user by creating hatred for some elements, however, many cases seem to fall under the definition of black pattern, especially in our general life.  And not just digital applications","mislead users, hatred creation, general life",guided hatred for some elements?,"misleading, hatred elements"
6/11/2024 6:25:19,Female,18 - 24,High School,Residential Advisor,4 to 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",4,"Distrust, Disappointment, Annoyance","I do not appreciate the ""Please Turn On Notifications"" because it indicates that Meta (owner of Instagram) would like Instagram users constantly engaged on the platform, which can be a major distraction in one's life and take a away time from users' life. It seems like social media companies are maximizing user engagement and are throwing the importance of using social media platforms mindfully under the rug. This is not suitable for vulnerable age groups like young children and teenagers since it can create an addiction towards social media from an early age.",negative,negative,negative,"addiction, maximize user engagement, unfriendly to vulnerable age groups, distraction of life","Meta, Instragram, distraction, vulnerable age group, audience","addiction, maximize user engagement, unfriendly to vulnerable age group",Very frequently,"Facebook, Instagram, LinkedIn, YouTube",4,4,"Frustration, Anger, Distrust",It is unfair to consumers to encounter such situations because the creators of the platforms have all the power to create a manipulative design that does not seem mindful of consumers time and energy.,negative,negative,negative,"unfair, manipulative design, waste time, ","unfair, platforms, manipulative design, not mindful","unfair, manipulative, waste of time",Occasionally,"Amazon, Expedia",2,2,"Mild concern, Frustration",I feel tricked because I am not sure what the service fee and fulfillment fee pretains to. Like is that a shipping cost?,negative,negative,negative,"tricked, unclear description","tricked, service fee, fulfillment fee, shipping cost","trick, unclear description, additional fees",Occasionally,"BestBus.com, Megabus.com, Amtrak.com",4,1,"Distrust, Disappointment",It is upseting because such small font sizes can be difficult for older folks to navigate to since they are often the ones to fall victim of online scams.,negative,negative,negative,"upset, unfriendly to disabilities, older, fall victim, online scams","upsetting, small font size, difficult for older people, victim, online scamming","upset, unfriendly to disabilities, victim, scams",Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, LinkedIn, Slack, Twitter, TikTok, YouTube, Expedia, All retail and social media sites!",5,5,"Mild concern, Frustration, Disappointment",I feel awful about this feature because I am not sure where my data (personal email in this case) is being stored at. Maybe the site owners are selling my data without me even realizing.,negative,negative,negative,"awful, privacy concerns, data selling ","where email info is stored?, data collection issue","awful, privacy concerns, data collection",Rarely,"Facebook, Expedia, Converse.com, Potterybarn.com",5,5,"Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings","Getting advertisements of products a showed some interest to across all platforms (i.e. YouTube, Instagram, X, Facebook)","ads of products,  YouTube, Instagram, X, Facebook","ads, showed interest products, YouTube, Instagram, X, Facebook","ads, YouTube, Instagram, X, Facebook"
6/11/2024 9:18:49,Female,25 - 34,Master's degree,student,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",2,"Frustration, Annoyance",If I keep refusing and continues to suggest I get annoyed. Soemtimes I end up accepting without eeally wanting too and sometimes I delete the app,negative,negative,negative,"annoying, frequent popup, unwanted accept, delete app, stop using app","suggest, annoyed, accept, delete app","annoying, frequent pop-ups, stop using app",Occasionally,Expedia,1,1,"Frustration, Anger, Distrust, Disappointment, Annoyance","My email is hard to clean due to the big amount of spam that I receive. A lot of times i try to unsubscribe (to things i did not really subscribed) and not always work. The most frustrating is when you unsubscribe and they say ""it my take 2 days to stop receiving emails"", I feel that they do not respect out needs",negative,negative,negative,"intensive spam, frustrated, disrespect","spam email, frustrating, unsubscribe, no respect","spams, frustrated, disrespect",Very frequently,"Expedia, ibotta, fetchy",4,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",I feel like robbed when that happens and usually give up of the product,negative,negative,negative,"robbed, give up","give up the product, frustration","give up, frustrated",Occasionally,Car rentals websites like from dollar,5,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",I feel deceived and annoyed. Sometimes a little desperate in the sense that i really want to stop receiving this emails but i cannot find how,negative,negative,negative,"deceived, annoying, desperate, out of ability","decieved, annoyed, desperate, emails, cannot find, sneaking","decieved, annoying, desperate, hard to locate",Very frequently,"Amazon, Instagram, Expedia, ",5,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",It goes again in the desperate feeling of not wanting to receive so much email but not knowing how to impede,negative,negative,negative,"desperate, out of ability, don't know how to impede","desperate feeling, don't want to recieve email","desperate, helpless",Occasionally,None come to mind,5,1,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Immediately Stop Using the Application","Mostly related to subscription, either having difficulty to unsubscribe, or being subscribed without noticing","hard to cancel, obstruction, preselection","subscription, difficult to unsubscribe, subscribe without noticing","subscription, hard to cancel, preselection"
